,Sentence Deliminators,Stopword Removal,Acronym Expansion,Reference Expansion,Stemming,precision,recall,fscore
0,0,0,0,0,0,4.134615384615383,11.542363886113886,5.913800340199741
1,1,0,0,0,0,3.525641025641024,9.77286602286602,5.037378167152853
2,0,0,0,0,1,5.032051282051278,13.968149905649906,7.186071182121614
3,1,1,0,0,0,3.974358974358972,10.960879398379394,5.673599007618106
4,0,0,0,1,1,5.608974358974357,15.84906413031413,8.06388074542889
5,1,1,1,0,0,3.9423076923076894,10.96467768342768,5.646977139881117
6,0,0,1,1,1,5.737179487179485,16.186729936729936,8.247358576492973
7,1,1,1,1,0,4.5192307692307665,12.9850357975358,6.527515464058324
8,0,1,1,1,1,6.31410256410256,17.490929209679212,9.030364606205735
9,1,1,1,1,1,5.384615384615379,14.909257409257409,7.684827767093821
10,0,1,0,0,0,4.551282051282047,12.605970418470417,6.5053520580386435
11,0,0,0,1,0,5.224358974358972,14.979100760350757,7.551094433300473
12,0,0,1,0,0,4.0384615384615365,11.257700632700631,5.787666872951153
13,1,0,1,0,0,3.4935897435897427,9.753961316461316,5.0067250046237
14,0,0,1,0,1,5.160256410256407,14.439553502053501,7.384674582072217
15,1,0,0,1,0,4.1987179487179445,12.025040931290931,6.053708444638739
16,0,1,0,0,1,5.480769230769231,15.315448440448439,7.854297216194331
17,1,1,0,1,0,4.647435897435894,13.220859002109004,6.692852783010765
18,0,1,0,1,1,6.217948717948714,17.40717615717616,8.920679865242883
19,1,0,0,0,1,4.230769230769227,11.837468087468084,6.058856106944033
20,1,1,0,0,1,4.423076923076917,12.61682761682761,6.371614479925078
21,1,0,0,1,1,4.871794871794869,13.770864552114553,6.98665525743725
22,1,1,1,0,1,4.519230769230763,12.84958097458097,6.496619919131969
23,1,0,1,1,1,4.999999999999996,14.100725663225662,7.167209590594559
24,0,1,1,0,0,4.487179487179481,12.46611027861028,6.4223011121334475
25,0,1,0,1,0,5.608974358974357,15.767409673659671,8.06432132739121
26,0,0,1,1,0,5.320512820512818,15.276511682761681,7.6964128276067205
27,1,0,1,1,0,4.198717948717945,12.082258019758019,6.064007369686388
28,1,0,1,0,1,4.230769230769227,11.98913933288933,6.077369884039045
29,0,1,1,0,1,5.608974358974357,15.554879148629144,8.014049325588399
30,0,1,1,1,0,5.608974358974357,15.844658813408811,8.078601778159516
31,1,1,0,1,1,5.25641025641025,14.645215895215896,7.517742696991508
